driver_number,date,meeting_key,position,session_key
11,2024-06-23 12:06:26.037000+00:00,1238,11,9539
14,2024-06-23 12:06:26.037000+00:00,1238,10,9539
16,2024-06-23 12:06:26.037000+00:00,1238,5,9539
18,2024-06-23 12:06:26.037000+00:00,1238,14,9539
20,2024-06-23 12:06:26.037000+00:00,1238,16,9539
22,2024-06-23 12:06:26.037000+00:00,1238,17,9539
23,2024-06-23 12:06:26.037000+00:00,1238,20,9539
24,2024-06-23 12:06:26.037000+00:00,1238,15,9539
27,2024-06-23 12:06:26.037000+00:00,1238,13,9539
31,2024-06-23 12:06:26.037000+00:00,1238,8,9539
44,2024-06-23 12:06:26.037000+00:00,1238,3,9539
55,2024-06-23 12:06:26.037000+00:00,1238,6,9539
63,2024-06-23 12:06:26.037000+00:00,1238,4,9539
77,2024-06-23 12:06:26.037000+00:00,1238,12,9539
81,2024-06-23 12:06:26.037000+00:00,1238,9,9539
1,2024-06-29 09:17:44.192000+00:00,1239,1,9549
2,2024-06-29 09:17:44.192000+00:00,1239,15,9549
3,2024-06-29 09:17:44.192000+00:00,1239,16,9549
4,2024-06-29 09:17:44.192000+00:00,1239,2,9549
10,2024-06-29 09:17:44.192000+00:00,1239,9,9549
11,2024-06-29 09:17:44.192000+00:00,1239,7,9549
14,2024-06-29 09:17:44.192000+00:00,1239,13,9549
16,2024-06-29 09:17:44.192000+00:00,1239,10,9549
18,2024-06-29 09:17:44.192000+00:00,1239,12,9549
20,2024-06-29 09:17:44.192000+00:00,1239,11,9549
22,2024-06-29 09:17:44.192000+00:00,1239,14,9549
23,2024-06-29 09:26:42.610000+00:00,1239,20,9549
24,2024-06-29 09:17:44.192000+00:00,1239,19,9549
27,2024-06-29 09:17:44.192000+00:00,1239,17,9549
31,2024-06-29 09:17:44.192000+00:00,1239,8,9549
44,2024-06-29 09:17:44.192000+00:00,1239,6,9549
55,2024-06-29 09:17:44.192000+00:00,1239,5,9549
63,2024-06-29 09:17:44.192000+00:00,1239,4,9549
77,2024-06-29 09:17:44.192000+00:00,1239,18,9549
81,2024-06-29 09:17:44.192000+00:00,1239,3,9549
1,2024-06-30 12:07:38.634000+00:00,1239,1,9550
2,2024-06-30 12:07:38.634000+00:00,1239,19,9550
3,2024-06-30 12:07:38.634000+00:00,1239,11,9550
4,2024-06-30 12:07:38.634000+00:00,1239,2,9550
10,2024-06-30 12:07:38.634000+00:00,1239,13,9550
11,2024-06-30 12:07:38.634000+00:00,1239,8,9550
14,2024-06-30 12:07:38.634000+00:00,1239,15,9550
16,2024-06-30 12:07:38.634000+00:00,1239,6,9550
18,2024-06-30 12:07:38.634000+00:00,1239,17,9550
20,2024-06-30 12:07:38.634000+00:00,1239,12,9550
22,2024-06-30 12:07:38.634000+00:00,1239,14,9550
23,2024-06-30 12:07:38.634000+00:00,1239,16,9550
24,2024-06-30 12:07:38.634000+00:00,1239,20,9550
27,2024-06-30 12:07:38.634000+00:00,1239,9,9550
31,2024-06-30 12:07:38.634000+00:00,1239,10,9550
44,2024-06-30 12:07:38.634000+00:00,1239,5,9550
55,2024-06-30 12:07:38.634000+00:00,1239,4,9550
63,2024-06-30 12:07:38.634000+00:00,1239,3,9550
77,2024-06-30 12:07:38.634000+00:00,1239,18,9550
81,2024-06-30 12:07:38.634000+00:00,1239,7,9550
1,2024-07-07 13:05:02.926000+00:00,1240,4,9558
2,2024-07-07 13:05:02.926000+00:00,1240,12,9558
3,2024-07-07 13:05:02.926000+00:00,1240,15,9558
4,2024-07-07 13:05:02.926000+00:00,1240,3,9558
10,2024-07-07 13:05:02.926000+00:00,1240,19,9558
11,2024-07-07 13:05:02.926000+00:00,1240,20,9558
14,2024-07-07 13:05:02.926000+00:00,1240,10,9558
16,2024-07-07 13:05:02.926000+00:00,1240,11,9558
18,2024-07-07 13:05:02.926000+00:00,1240,8,9558
20,2024-07-07 13:05:02.926000+00:00,1240,17,9558
22,2024-07-07 13:05:02.926000+00:00,1240,13,9558
23,2024-07-07 13:05:02.926000+00:00,1240,9,9558
24,2024-07-07 13:05:02.926000+00:00,1240,14,9558
27,2024-07-07 13:05:02.926000+00:00,1240,6,9558
31,2024-07-07 13:05:02.926000+00:00,1240,18,9558
44,2024-07-07 13:05:02.926000+00:00,1240,2,9558
55,2024-07-07 13:05:02.926000+00:00,1240,7,9558
63,2024-07-07 13:05:02.926000+00:00,1240,1,9558
77,2024-07-07 13:05:02.926000+00:00,1240,16,9558
81,2024-07-07 13:05:02.926000+00:00,1240,5,9558
1,2024-07-21 12:08:02.951000+00:00,1241,3,9566
2,2024-07-21 12:08:02.951000+00:00,1241,14,9566
3,2024-07-21 12:08:02.951000+00:00,1241,9,9566
4,2024-07-21 12:08:02.951000+00:00,1241,1,9566
10,2024-07-21 12:08:02.951000+00:00,1241,20,9566
11,2024-07-21 12:08:02.951000+00:00,1241,16,9566
14,2024-07-21 12:08:02.951000+00:00,1241,7,9566
16,2024-07-21 12:08:02.951000+00:00,1241,6,9566
18,2024-07-21 12:08:02.951000+00:00,1241,8,9566
20,2024-07-21 12:08:02.951000+00:00,1241,15,9566
22,2024-07-21 12:08:02.951000+00:00,1241,10,9566
23,2024-07-21 12:08:02.951000+00:00,1241,13,9566
24,2024-07-21 12:08:02.951000+00:00,1241,18,9566
27,2024-07-21 12:08:02.951000+00:00,1241,11,9566
31,2024-07-21 12:08:02.951000+00:00,1241,19,9566
44,2024-07-21 12:08:02.951000+00:00,1241,5,9566
55,2024-07-21 12:08:02.951000+00:00,1241,4,9566
63,2024-07-21 12:08:02.951000+00:00,1241,17,9566
77,2024-07-21 12:08:02.951000+00:00,1241,12,9566
81,2024-07-21 12:08:02.951000+00:00,1241,2,9566
1,2024-07-28 12:08:41.711000+00:00,1242,11,9574
2,2024-07-28 12:08:41.711000+00:00,1242,18,9574
3,2024-07-28 12:08:41.711000+00:00,1242,13,9574
4,2024-07-28 12:08:41.711000+00:00,1242,4,9574
10,2024-07-28 12:08:41.711000+00:00,1242,12,9574
11,2024-07-28 12:08:41.711000+00:00,1242,2,9574
14,2024-07-28 12:08:41.711000+00:00,1242,8,9574
16,2024-07-28 12:08:41.711000+00:00,1242,1,9574
18,2024-07-28 12:08:41.711000+00:00,1242,15,9574
20,2024-07-28 12:08:41.711000+00:00,1242,17,9574
22,2024-07-28 12:08:41.711000+00:00,1242,20,9574
23,2024-07-28 12:08:41.711000+00:00,1242,10,9574
24,2024-07-28 12:08:41.711000+00:00,1242,19,9574
27,2024-07-28 12:08:41.711000+00:00,1242,16,9574
31,2024-07-28 12:08:41.711000+00:00,1242,9,9574
44,2024-07-28 12:08:41.711000+00:00,1242,3,9574
55,2024-07-28 12:08:41.711000+00:00,1242,7,9574
63,2024-07-28 12:08:41.711000+00:00,1242,6,9574
77,2024-07-28 12:08:41.711000+00:00,1242,14,9574
81,2024-07-28 12:08:41.711000+00:00,1242,5,9574
1,2024-08-25 12:05:42.161000+00:00,1243,2,9582
2,2024-08-25 12:05:42.161000+00:00,1243,18,9582
3,2024-08-25 12:05:42.161000+00:00,1243,13,9582
4,2024-08-25 12:05:42.161000+00:00,1243,1,9582
10,2024-08-25 12:05:42.161000+00:00,1243,9,9582
11,2024-08-25 12:05:42.161000+00:00,1243,5,9582
14,2024-08-25 12:05:42.161000+00:00,1243,7,9582
16,2024-08-25 12:05:42.161000+00:00,1243,6,9582
18,2024-08-25 12:05:42.161000+00:00,1243,8,9582
20,2024-08-25 12:05:42.161000+00:00,1243,20,9582
22,2024-08-25 12:05:42.161000+00:00,1243,11,9582
23,2024-08-25 12:05:42.161000+00:00,1243,19,9582
24,2024-08-25 12:05:42.161000+00:00,1243,17,9582
27,2024-08-25 12:05:42.161000+00:00,1243,12,9582
31,2024-08-25 12:05:42.161000+00:00,1243,15,9582
44,2024-08-25 12:05:42.161000+00:00,1243,14,9582
55,2024-08-25 12:05:42.161000+00:00,1243,10,9582
63,2024-08-25 12:05:42.161000+00:00,1243,4,9582
77,2024-08-25 12:05:42.161000+00:00,1243,16,9582
81,2024-08-25 12:05:42.161000+00:00,1243,3,9582
1,2024-09-01 12:07:46.509000+00:00,1244,7,9590
3,2024-09-01 12:07:46.509000+00:00,1244,12,9590
4,2024-09-01 12:07:46.509000+00:00,1244,1,9590
10,2024-09-01 12:07:46.509000+00:00,1244,14,9590
11,2024-09-01 12:07:46.509000+00:00,1244,8,9590
14,2024-09-01 12:07:46.509000+00:00,1244,11,9590
16,2024-09-01 12:07:46.509000+00:00,1244,4,9590
18,2024-09-01 12:07:46.509000+00:00,1244,17,9590
20,2024-09-01 12:07:46.509000+00:00,1244,13,9590
22,2024-09-01 12:07:46.509000+00:00,1244,16,9590
23,2024-09-01 12:07:46.509000+00:00,1244,9,9590
24,2024-09-01 12:07:46.509000+00:00,1244,20,9590
27,2024-09-01 12:07:46.509000+00:00,1244,10,9590
31,2024-09-01 12:07:46.509000+00:00,1244,15,9590
43,2024-09-01 12:07:46.509000+00:00,1244,18,9590
44,2024-09-01 12:07:46.509000+00:00,1244,6,9590
55,2024-09-01 12:07:46.509000+00:00,1244,5,9590
63,2024-09-01 12:07:46.509000+00:00,1244,3,9590
77,2024-09-01 12:07:46.509000+00:00,1244,19,9590
81,2024-09-01 12:07:46.509000+00:00,1244,2,9590
1,2024-09-15 10:08:05.386000+00:00,1245,6,9598
3,2024-09-15 10:08:05.386000+00:00,1245,14,9598
4,2024-09-15 10:08:05.386000+00:00,1245,15,9598
10,2024-09-15 10:08:05.386000+00:00,1245,18,9598
11,2024-09-15 10:08:05.386000+00:00,1245,4,9598
14,2024-09-15 10:08:05.386000+00:00,1245,7,9598
16,2024-09-15 10:08:05.386000+00:00,1245,1,9598
18,2024-09-15 10:08:05.386000+00:00,1245,13,9598
22,2024-09-15 10:08:05.386000+00:00,1245,11,9598
23,2024-09-15 10:08:05.386000+00:00,1245,9,9598
24,2024-09-15 10:08:05.386000+00:00,1245,17,9598
27,2024-09-15 10:08:05.386000+00:00,1245,12,9598
31,2024-09-15 10:08:05.386000+00:00,1245,20,9598
43,2024-09-15 10:08:05.386000+00:00,1245,8,9598
44,2024-09-15 10:08:05.386000+00:00,1245,19,9598
50,2024-09-15 10:08:05.386000+00:00,1245,10,9598
55,2024-09-15 10:08:05.386000+00:00,1245,3,9598
63,2024-09-15 10:08:05.386000+00:00,1245,5,9598
77,2024-09-15 10:08:05.386000+00:00,1245,16,9598
81,2024-09-15 10:08:05.386000+00:00,1245,2,9598
1,2024-09-22 11:07:06.588000+00:00,1246,2,9606
3,2024-09-22 11:07:06.588000+00:00,1246,16,9606
4,2024-09-22 11:07:06.588000+00:00,1246,1,9606
10,2024-09-22 11:07:06.588000+00:00,1246,18,9606
11,2024-09-22 11:07:06.588000+00:00,1246,13,9606
14,2024-09-22 11:07:06.588000+00:00,1246,7,9606
16,2024-09-22 11:07:06.588000+00:00,1246,9,9606
18,2024-09-22 11:07:06.588000+00:00,1246,17,9606
20,2024-09-22 11:07:06.588000+00:00,1246,14,9606
22,2024-09-22 11:07:06.588000+00:00,1246,8,9606
23,2024-09-22 11:07:06.588000+00:00,1246,11,9606
24,2024-09-22 11:07:06.588000+00:00,1246,20,9606
27,2024-09-22 11:07:06.588000+00:00,1246,6,9606
31,2024-09-22 11:07:06.588000+00:00,1246,15,9606
43,2024-09-22 11:07:06.588000+00:00,1246,12,9606
44,2024-09-22 11:07:06.588000+00:00,1246,3,9606
55,2024-09-22 11:07:06.588000+00:00,1246,10,9606
63,2024-09-22 11:07:06.588000+00:00,1246,4,9606
77,2024-09-22 11:07:06.588000+00:00,1246,19,9606
81,2024-09-22 11:07:06.588000+00:00,1246,5,9606
1,2024-10-19 17:17:54.722000+00:00,1247,1,9616
4,2024-10-19 17:17:54.722000+00:00,1247,4,9616
10,2024-10-19 17:17:54.722000+00:00,1247,12,9616
11,2024-10-19 17:17:54.722000+00:00,1247,11,9616
14,2024-10-19 17:17:54.722000+00:00,1247,14,9616
16,2024-10-19 17:17:54.722000+00:00,1247,3,9616
18,2024-10-19 17:17:54.722000+00:00,1247,13,9616
20,2024-10-19 17:17:54.722000+00:00,1247,8,9616
22,2024-10-19 17:17:54.722000+00:00,1247,9,9616
23,2024-10-19 17:17:54.722000+00:00,1247,20,9616
24,2024-10-19 17:17:54.722000+00:00,1247,19,9616
27,2024-10-19 17:17:54.722000+00:00,1247,6,9616
30,2024-10-19 17:17:54.722000+00:00,1247,15,9616
31,2024-10-19 17:17:54.722000+00:00,1247,17,9616
43,2024-10-19 17:17:54.722000+00:00,1247,10,9616
44,2024-10-19 17:17:54.722000+00:00,1247,7,9616
55,2024-10-19 17:17:54.722000+00:00,1247,5,9616
63,2024-10-19 17:17:54.722000+00:00,1247,2,9616
77,2024-10-19 17:17:54.722000+00:00,1247,18,9616
81,2024-10-19 17:17:54.722000+00:00,1247,16,9616
1,2024-10-20 18:06:48.657000+00:00,1247,2,9617
4,2024-10-20 18:06:48.657000+00:00,1247,1,9617
10,2024-10-20 18:06:48.657000+00:00,1247,6,9617
11,2024-10-20 18:06:48.657000+00:00,1247,9,9617
14,2024-10-20 18:06:48.657000+00:00,1247,7,9617
16,2024-10-20 18:06:48.657000+00:00,1247,4,9617
18,2024-10-20 18:06:48.657000+00:00,1247,13,9617
20,2024-10-20 18:06:48.657000+00:00,1247,8,9617
22,2024-10-20 18:06:48.657000+00:00,1247,10,9617
23,2024-10-20 18:06:48.657000+00:00,1247,14,9617
24,2024-10-20 18:06:48.657000+00:00,1247,18,9617
27,2024-10-20 18:06:48.657000+00:00,1247,11,9617
30,2024-10-20 18:06:48.657000+00:00,1247,19,9617
31,2024-10-20 18:06:48.657000+00:00,1247,12,9617
43,2024-10-20 18:06:48.657000+00:00,1247,15,9617
44,2024-10-20 18:06:48.657000+00:00,1247,17,9617
55,2024-10-20 18:06:48.657000+00:00,1247,3,9617
63,2024-10-20 18:06:48.657000+00:00,1247,20,9617
77,2024-10-20 18:06:48.657000+00:00,1247,16,9617
81,2024-10-20 18:06:48.657000+00:00,1247,5,9617
